No,Kode,Digital Skill,Definisi,Definition
1,"SVC 1 / PLF 1 /
 CON 8",Digital Business Partnership,Kemampuan untuk melakukan research untuk menjalin kerja sama dan relationship dengan channel atau partner yang memiliki platform.,The ability to conduct research to build cooperation and relationships with channels or partners who have a platform.
2,"SVC 2 / PLF 2 /
 CON 3",Digital Business Strategies,"Kemampuan untuk memimpin team digital dalam menyelesaikan permasalahan complex serta mampu menerjemahkan dan memimpin dalam menghubungkan antara kebutuhan, keinginan, dan harapan terhadap dari pelanggan dan bisnis. Membutuhkan kemampuan yang baik dalam mengkoordinasikan setiap stakeholders untuk mendapatkan pemahaman yang jelas dan detil terhadap tantangan-tantangan dalam mengembangkan produk digital yang sesuai dengan kebutuhan bisnis/pelanggan.","The ability to lead digital teams in solving complex problems and being able to translate and lead in connecting between the needs, desires, and expectations of customers and businesses. It requires good ability in coordinating each stakeholders to gain a clear and detailed understanding of the challenges in developing digital products that suit the needs of businesses/customers."
3,SVC 3 / PLF 3,Digital Product Manager,"Kemampuan untuk pengembangan produk digital yang berkualitas mulai dari tahap inisiasi, pengembangan, pemasaran dan identifikasi cara untuk meningkatkan nilai bisnis produk digital.","The ability to develop quality digital products ranging from the initiation stage, development, marketing and identification of ways to increase the business value of digital products."
4,"SVC 4 / PLF 4 /
 CON 9",Product Owner,Kemampuan untuk mengelola pengembangan produk digital untuk memaksimalkan value dari produk digital tersebut.,The ability to manage the development of digital products to maximize the value of these digital products
5,SVC 5 / PLF 8,Data Engineer,"Kemampuan untuk membuat desain arsitektur database, menetapkan aturan, standar dan model untuk mengawasi dan menentukan tipe data apa yang akan diambil, bagaimana data tersebut digunakan, disimpan, dikelola, diintegrasikan; termasuk big data.","The ability to design database architectures, set rules, standards and models to monitor and determine what data types to take, how they are used, stored, managed, integrated; including big data."
6,SVC 6 / PLF 10,Solution Architect,"Kemampuan untuk mendefinisikan struktur dari suatu aplikasi yang dapat memenuhi seluruh kriteria dari sisi teknis dan operasional termasuk standar coding yang digunakan, tools, dan platform, dengan mempertimbangkan kualitas performa, keamanan, dan pengelolaannya.","The ability to define the structure of an application that meets all technical and operational criteria including coding standards used, tools, and platforms, taking into account the quality of its performance, security, and management."
7,SVC 7 / PLF 11,System Analyst,"Kemampuan untuk menghubungkan beberapa sistem komputerisasi dan software aplikasi, baik secara fisik maupun secara fungsional.","The ability to connect multiple computerized systems and application software, both physically and functionally."
8,SVC 8 / PLF 12,UI Designer,"Kemampuan untuk menggunakan komunikasi dari pengguna (user) dengan sistem pada sebuah program, mulai dari aplikasi website, mobile ataupun software. UI Designer akan membuat desain yang memudahkan pengguna programnya.","The ability to use communication from users with the system in a program, ranging from website applications, mobile or software. UI Designer will create a design that makes it easier for users of the program."
9,SVC 9 / PLF 13,UX Designer,Kemampuan untuk menganalisa dan membuat rancangan kreatif yang mampu menerjemahkan kebutuhan serta menyelesaikan masalah pengguna.,The ability to analyze and create creative designs that are able to translate needs and solve user problems.
10,SVC 10 / PLF 14,UX Researcher,Kemampuan untuk membuat konsep dan bentuk dari suatu produk serta peningkatan website dan fitur-fiturnya. Sebagai tambahan juga membuat evaluasi dari keterpakaian dan keberhasilan dari seluruh interaksi dengan pengguna (marketing touchpoints).,The ability to create concepts and shapes of a product as well as improve its website and features. In addition to also making an evaluation of the wear and success of all interactions with users (marketing touchpoints).
11,SVC 11 / PLF 15,UX Writer,"Kemampuan untuk mendesign teks yang ditemui pengguna saat menggunakan produk software (Bisa berupa website, mobile-app, dan lain sebagainya). Teks ini sangat penting dalam membantu pengguna memanfaatkan produk untuk memecahkan masalah mereka.","The ability to design the text that users encounter when using software products (Can be websites, mobile-apps, and so on). This text is very important in helping users leverage products to solve their problems."
12,SVC 12 / PLF 16,Visual/Graphic Design,"Kemampuan untuk menciptakan dan mengatur elemen- elemen visual seperti gambar, foto, dll dengan tujuan untuk menyampaikan informasi yang lebih mudah dimengerti. Media yang digunakan bisa berupa media yang diterbitkan, cetak maupun elektronik, seperti brosur dan iklan.","The ability to create and organize visual elements such as images, photos, etc. with the aim of conveying information that is easier to understand. The media used can be published, printed or electronic media, such as brochures and advertisements."
13,"SVC 13 / PLF 17
 / CON 22",Agile Coach/ Sprint Master,Kemampuan untuk melatih dan mengawasi penggunaan agile methodology oleh Tim Scrum produk digital secara efektif untuk memaksimalkan nilai yang diciptakan oleh Tim Scrum.,The ability to train and supervise the use of agile methodology by the Scrum Team of digital products effectively to maximize the value created by the Scrum Team.
14,SVC 14 / PLF 19,Back End Developer,"Kemampuan untuk memprogram server agar mengirimkan dokumen (dalam hal ini HTML, CSS, dan kode JavaScript) ke browser pengguna setiap kali pengguna memintanya melalui http request, serta bertanggung jawab terhadap database dan manajemen konten di suatu website.","The ability to program the server to send documents (in this case HTML, CSS, and JavaScript code) to the user's browser every time a user requests them via http request, as well as be responsible for databases and content management on a website."
