Unnamed: 0,Link,Title,Subject,Level,What will you learn,des,Title_clean,Subject_clean,Level_clean,des_clean
0,https://online-learning.harvard.edu/course/cs50s-introduction-game-development?delta=0,CS50's Introduction to Game Development,PROGRAMMING,Intermediate,"Principles of 2D and 3D graphics, animation, sound, and collision detection Unity and LÖVE 2D Lua, C# Basics of game design and development","In a quest to understand how video games themselves are implemented, you'll explore the design of such childhood games as: Super Mario Bros., Pong, Flappy Bird, Breakout, Match 3, Legend of Zelda, Angry Birds, Pokémon, 3D Helicopter Game, Dreadhalls, and Portal. Via lectures and hands-on projects, the course explores principles of 2D and 3D graphics, animation, sound, and collision detection using frameworks like Unity and LÖVE 2D, as well as languages like Lua and C#. By class’s end, you'll have programmed several of your own games and gained a thorough understanding of the basics of game design and development.",introduction game development,programming,intermediate,quest understand video games implemented explore design childhood games super mario bros pong flappy bird breakout match legend zelda angry birds pokémon helicopter game dreadhalls portal via lectures hands projects course explores principles graphics animation sound collision detection using frameworks like unity löve well languages like lua class programmed several games gained thorough understanding basics game design development
1,https://online-learning.harvard.edu/course/cs50s-mobile-app-development-react-native?delta=0,CS50's Mobile App Development with React Native,PROGRAMMING,Intermediate,"JavaScript ES6 React, JSX Components, Props, State, Style Components, Views, User Input Debugging","This course picks up where CS50 leaves off, transitioning from web development to mobile app development with React Native. The course introduces you to modern JavaScript (including ES6 and ES7) as well as to JSX, a JavaScript extension. Through hands-on projects, you'll gain experience with React and its paradigms, app architecture, and user interfaces. The course culminates in a final project for which you'll implement an app entirely of your own design.",mobile app development react native,programming,intermediate,course picks leaves transitioning web development mobile app development react native course introduces modern javascript including well jsx javascript extension hands projects gain experience react paradigms app architecture user interfaces course culminates final project implement app entirely design
2,https://online-learning.harvard.edu/course/cs50s-web-programming-python-and-javascript?delta=0,CS50's Web Programming with Python and JavaScript,PROGRAMMING,Intermediate,"Git HTML, CSS Flask SQL APIs JavaScript","Topics include database design, scalability, security, and user experience. Through hands-on projects, you'll learn to write and use APIs, create interactive UIs, and leverage cloud services like GitHub and Heroku. By course's end, you'll emerge with knowledge and experience in principles, languages, and tools that empower you to design and deploy applications on the Internet.",web programming python javascript,programming,intermediate,topics include database design scalability security user experience hands projects learn write use apis create interactive uis leverage cloud services like github heroku course emerge knowledge experience principles languages tools empower design deploy applications internet
3,https://online-learning.harvard.edu/course/predictionx-lost-without-longitude?delta=0,PredictionX: Lost Without Longitude,HUMANITIES,Introductory,"What exactly navigation is and how it works The importance of position, direction, and speed The many navigational tools of the 18th century How the motion of the sun and stars aids navigation The historical context of navigation’s technical advances The story of John Harrison and The Longitude Prize","Humans have been navigating for ages. As we developed the tools and techniques for determining location and planning a route, navigation grew into a practice, an art, and a science. Navigational skill has long been tied to commercial, economic, and military success. However, the ability to predict when and where one will reach a distant destination is more than just a key to empire-building — it’s often a matter of life and death. Using video, text, infographics, and Worldwide Telescope tours, we will explore the tools and techniques that navigators have used, with a particular focus on the importance (and difficulty) of measuring longitude. Grounded in the principles of position, direction, speed, and time, we will learn the challenges of navigating without a GPS signal. We’ll learn how the Age of Exploration and the economic forces of worldwide trade encouraged scientific progress in navigation; and how Jupiter’s moons, lunar eclipses, and clockmakers all played a part in orienting history’s navigators. Centuries of progress in navigation have helped put humans on the moon and spacecraft on a comet. This course will explain how we got there, and how that progress enables you to get where you’re going today.",predictionx lost without longitude,humanities,introductory,humans navigating ages developed tools techniques determining location planning route navigation grew practice art science navigational skill long tied commercial economic military success however ability predict reach distant destination key empire building often matter life death using video text infographics worldwide telescope tours explore tools techniques navigators used particular focus importance difficulty measuring longitude grounded principles position direction speed time learn challenges navigating without gps signal learn age exploration economic forces worldwide trade encouraged scientific progress navigation jupiter moons lunar eclipses clockmakers played part orienting history navigators centuries progress navigation helped put humans moon spacecraft comet course explain got progress enables get going today
4,https://online-learning.harvard.edu/course/nonprofit-financial-stewardship-webinar-introduction-accounting-and-financial-statements?delta=0,Nonprofit Financial Stewardship Webinar: Introduction to Accounting and Financial Statements,BUSINESS,Introductory,,"The Introduction to Nonprofit Accounting and Financial Statements webinar series is designed to introduce basic nonprofit accounting concepts and financial statements to individuals who have had little or no experience with finance or accounting. This self-paced webinar is being held in conjunction with the Nonprofit Financial Stewardship Executive Education program at Harvard Kennedy School. The webinar features Eric Schwartz, Managing Director in PricewaterhouseCoopers National Assurance Health Services. Please note you will not receive a certificate for completing this webinar series.",nonprofit financial stewardship webinar introduction accounting financial statements,business,introductory,introduction nonprofit accounting financial statements webinar series designed introduce basic nonprofit accounting concepts financial statements individuals little experience finance accounting self paced webinar held conjunction nonprofit financial stewardship executive education program harvard kennedy school webinar features eric schwartz managing director pricewaterhousecoopers national assurance health services please note receive certificate completing webinar series
5,https://online-learning.harvard.edu/course/predictionx-john-snow-and-cholera-epidemic-1854?delta=0,PredictionX: John Snow and the Cholera Epidemic of 1854,HEALTH & MEDICINE,Introductory,John Snow’s role in creating modern epidemiology Description of 19th century London life,"In 1854, a cholera epidemic swept through the London neighborhood of Soho. In about three weeks, over 600 people died. This incident was, tragically, not unusual in London or the rest of the 19th-century world as a whole. The scourge of cholera seemed unstoppable and, even worse, unpredictable. But one doctor — ignored by the scientific community at large — set out to prove that he knew how cholera was spread. Join us for this one-week, immersive learning experience where we explore John Snow’s London, from the streets of Soho to the dataset that helped create the map that changed our understanding of cholera and epidemiology forever. This course features interactive tools including an interactive ArcGIS map of the 1854 cholera outbreak and a Timeline JS of John Snow’s investigation. This module is a part of PredictionX, which looks at the history of attempts to predict the future. PredictionX courses will cover topics from omens and oracles in ancient civilizations to modern computer simulations.",predictionx john snow cholera epidemic,health medicine,introductory,cholera epidemic swept london neighborhood soho three weeks people died incident tragically unusual london rest century world whole scourge cholera seemed unstoppable even worse unpredictable doctor ignored scientific community large set prove knew cholera spread join us week immersive learning experience explore john snow london streets soho dataset helped create map changed understanding cholera epidemiology forever course features interactive tools including interactive arcgis map cholera outbreak timeline js john snow investigation module part predictionx looks history attempts predict future predictionx courses cover topics omens oracles ancient civilizations modern computer simulations
6,https://online-learning.harvard.edu/course/cs50-introduction-computer-science?delta=0,CS50: Introduction to Computer Science,PROGRAMMING,Introductory,"A broad and robust understanding of computer science and programming How to think algorithmically and solve programming problems efficiently Concepts like abstraction, algorithms, data structures, encapsulation, resource management, security, software engineering, and web development Familiarity in a number of languages, including C, PHP, and JavaScript plus SQL, CSS, and HTML How to engage with a vibrant community of like-minded learners from all levels of experience How to develop and present a final programming project to your peers","This is CS50x, Harvard University's introduction to the intellectual enterprises of computer science and the art of programming for majors and non-majors alike, with or without prior programming experience.  An entry-level course taught by David J. Malan, CS50x teaches students how to think algorithmically and solve problems efficiently. Topics include abstraction, algorithms, data structures, encapsulation, resource management, security, software engineering, and web development. Languages include C, PHP, and JavaScript plus SQL, CSS, and HTML. Problem sets inspired by real-world domains of biology, cryptography, finance, forensics, and gaming. As of Fall 2015, the on-campus version of CS50x, CS50, was Harvard's largest course.",introduction computer science,programming,introductory,harvard university introduction intellectual enterprises computer science art programming majors majors alike without prior programming experience entry level course taught david malan teaches students think algorithmically solve problems efficiently topics include abstraction algorithms data structures encapsulation resource management security software engineering web development languages include php javascript plus sql css html problem sets inspired real world domains biology cryptography finance forensics gaming fall campus version harvard largest course
7,https://online-learning.harvard.edu/course/religious-literacy-traditions-and-scriptures?delta=1,Religious Literacy: Traditions and Scriptures,HUMANITIES,Introductory,Tools for how to interpret the roles religions play in contemporary and historic contexts; How religions are internally diverse How religions evolve and change How religions are embedded in all human cultures The strengths and limitations of learning about religions through their scriptures,"The study of religion is the study of a rich and fascinating dimension of human experience that includes but goes well beyond beliefs and ritual practices. In this religion course, learners explore case studies about how religions are internally diverse, how they evolve and change through time, and how religions are embedded in all dimensions of human experience. We’ll explore these tenets through the lens of scripture and through themes such as gender and sexuality, art, violence and peace, science, and power and authority. Join me and peers from around the world to embark on this journey to better understand religion in human affairs. This course is part of the World Religions Through Their Scriptures series.",religious literacy traditions scriptures,humanities,introductory,study religion study rich fascinating dimension human experience includes goes well beyond beliefs ritual practices religion course learners explore case studies religions internally diverse evolve change time religions embedded dimensions human experience explore tenets lens scripture themes gender sexuality art violence peace science power authority join peers around world embark journey better understand religion human affairs course part world religions scriptures series
8,https://online-learning.harvard.edu/course/buddhism-through-its-scriptures?delta=1,Buddhism Through Its Scriptures,HUMANITIES,Introductory,Religious/philosophical insights conveyed in Buddhist texts How scriptures are interpreted to diverse ends in different historical contexts Sensitive appreciation of world religions,"Whether you are new to the study of Buddhism or have been studying it or practicing it for years, this course will provide you with the opportunity to become acquainted with a variety of Buddhist teachings while guiding you to think about them, and yourself, in new ways. Through a combination of carefully selected readings, both scriptural and informational, as well as exposure to various forms of Buddhist practice such as art, devotional acts, and literary works, you will learn how to interpret, reflect upon, and apply the teachings of the Buddha to your own life and deepen your understanding of Buddhism.",buddhism scriptures,humanities,introductory,whether new study buddhism studying practicing years course provide opportunity become acquainted variety buddhist teachings guiding think new ways combination carefully selected readings scriptural informational well exposure various forms buddhist practice art devotional acts literary works learn interpret reflect upon apply teachings buddha life deepen understanding buddhism
9,https://online-learning.harvard.edu/course/judaism-through-its-scriptures?delta=1,Judaism Through Its Scriptures,HUMANITIES,Introductory,The diversity of Jews and Judaism Key facts about the primary texts of the Jewish canon The role that scripture has played and continues to play in the lives of Jews Why the sacred texts of Judaism continue to matter in the 21st century,"For over two millennia, Jews throughout the entire world have been committed to reading, interpreting, and living their scriptures. But what are the Jewish scriptures? When were they written? And why are they relevant in the 21st century? This religion course introduces students to the diversity of the ever-expanding Jewish canon and the equally diverse ways of reading it. It will examine how Jews, ancient and modern, drew inspiration and guidance from the traditional texts while simultaneously reinterpreting their contents in light of new circumstances. The religion we call “Judaism” emerges at the nexus of text, interpretation, and lived tradition. Whether you are a long-time student of the Jewish scriptures or a complete newcomer, this course will give you a new understanding of the fascinating roles that sacred texts have played in the rich history of Judaism. This course is part of the World Religions Through Their Scriptures series. ",judaism scriptures,humanities,introductory,two millennia jews throughout entire world committed reading interpreting living scriptures jewish scriptures written relevant century religion course introduces students diversity ever expanding jewish canon equally diverse ways reading examine jews ancient modern drew inspiration guidance traditional texts simultaneously reinterpreting contents light new circumstances religion call judaism emerges nexus text interpretation lived tradition whether long time student jewish scriptures complete newcomer course give new understanding fascinating roles sacred texts played rich history judaism course part world religions scriptures series
